,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,점포수,일 수,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수
12,2020,1,골목상권,2110966,논현2동주민센터,39896121.0,64450886.0,54344891.0,47684298.0,87234476.0,53971808.0,6.0,91.0,12326.0,6121.0,0.0,6121.0,29054.0,159.0,60.0,395.0,494.0,187.0,318.0,426.0,1470.0,7955064.0,1362869.0,1563200.0,1324685.0,1333985.0,1536412.0,833913.0,1193437.0,1269499.0,1250890.0,1270041.0,1227802.0,925086.0,818307.0,27426.0,17538.0,9879.0,65.0,4763.0,7773.0,7077.0,5016.0,2724.0,17.0,2089.0,4522.0,4969.0,3771.0,2173.0,48.0,2674.0
13,2020,1,골목상권,2110967,역삼역 8번,231665816.0,142710053.0,159924006.0,144530718.0,297562559.0,246637159.0,9.0,91.0,8819.0,5871.0,0.0,5871.0,61079.0,229.0,63.0,1469.0,784.0,265.0,120.0,71.0,29.0,4161539.0,778598.0,881311.0,694154.0,677667.0,714570.0,415238.0,633358.0,666609.0,658391.0,661992.0,638363.0,463966.0,438856.0,60709.0,36823.0,23879.0,115.0,10925.0,17002.0,16035.0,14106.0,2519.0,65.0,7128.0,12381.0,9947.0,5650.0,1655.0,50.0,3797.0
14,2020,1,골목상권,2110971,선정릉역 4번,311369782.0,225665049.0,211666694.0,215571341.0,364596203.0,295726769.0,9.0,91.0,16484.0,10021.0,0.0,10021.0,74745.0,462.0,131.0,2638.0,1782.0,526.0,253.0,164.0,595.0,6116875.0,1224084.0,1307404.0,978482.0,956008.0,1025029.0,625870.0,934695.0,981120.0,955922.0,967277.0,934138.0,694224.0,649497.0,73210.0,35862.0,37343.0,185.0,15399.0,20094.0,18092.0,15247.0,4186.0,90.0,8048.0,12361.0,8646.0,4171.0,2549.0,95.0,7351.0
15,2020,1,골목상권,2110972,강남세브란스병원미래의학연구센터,3344121.0,20480058.0,21646279.0,26769899.0,47064054.0,30936884.0,3.0,91.0,15191.0,7386.0,0.0,7386.0,28701.0,257.0,45.0,1110.0,739.0,612.0,305.0,116.0,1196.0,3932215.0,908477.0,877167.0,567370.0,543705.0,607359.0,428136.0,588555.0,597062.0,591638.0,594871.0,577998.0,488931.0,493161.0,26075.0,14646.0,11427.0,216.0,7696.0,7646.0,5984.0,3332.0,1199.0,73.0,3194.0,4587.0,3952.0,1945.0,895.0,143.0,4502.0
16,2020,1,골목상권,2110974,언주중학교,67582680.0,80216369.0,71187220.0,62639624.0,113086915.0,82287220.0,6.0,91.0,13130.0,6123.0,0.0,6123.0,10376.0,260.0,38.0,1009.0,775.0,221.0,103.0,52.0,1829.0,4551581.0,1070517.0,982893.0,618457.0,613360.0,735939.0,530415.0,675203.0,693320.0,681368.0,690591.0,669728.0,576059.0,565313.0,10086.0,6627.0,3457.0,39.0,2227.0,3204.0,2129.0,1449.0,1036.0,25.0,1044.0,1971.0,1619.0,1140.0,828.0,14.0,1183.0
17,2020,1,골목상권,2110975,매봉역 1번,46319030.0,140299408.0,130737116.0,154550907.0,208815247.0,145334462.0,6.0,91.0,7745.0,2968.0,0.0,2968.0,33245.0,85.0,40.0,78.0,108.0,61.0,45.0,74.0,1851.0,2015004.0,372019.0,419521.0,315677.0,317811.0,377065.0,212911.0,297135.0,306009.0,299368.0,303822.0,298009.0,261642.0,249020.0,22419.0,15346.0,7062.0,84.0,4644.0,5712.0,5884.0,4648.0,1437.0,54.0,2422.0,3673.0,4320.0,3677.0,1200.0,30.0,2222.0
18,2020,1,골목상권,2110976,언북초등학교,24680472.0,44202479.0,43321358.0,43952012.0,95848346.0,62389897.0,6.0,91.0,12411.0,5656.0,0.0,5656.0,11643.0,175.0,22.0,459.0,375.0,420.0,289.0,170.0,1588.0,4782523.0,1059875.0,988559.0,710148.0,694328.0,795837.0,533776.0,678026.0,720499.0,708688.0,719696.0,715354.0,650430.0,589832.0,11067.0,5295.0,5770.0,25.0,3211.0,3774.0,2056.0,1187.0,812.0,5.0,1083.0,1821.0,1178.0,702.0,507.0,20.0,2128.0
19,2020,1,골목상권,2110977,논현로18길,36896294.0,46576564.0,42590470.0,39181500.0,71062868.0,53961139.0,9.0,91.0,9594.0,4567.0,0.0,4567.0,10154.0,206.0,66.0,613.0,765.0,469.0,36.0,50.0,20.0,2757577.0,639123.0,568652.0,379725.0,377387.0,464607.0,328080.0,410636.0,412759.0,410598.0,410086.0,404125.0,356979.0,352393.0,,,,,,,,,,,,,,,,,
20,2020,1,골목상권,2110980,개포지구대옆,16445021.0,24798803.0,15265698.0,16588172.0,40405501.0,33001810.0,3.0,91.0,13517.0,6216.0,0.0,6216.0,25824.0,274.0,67.0,719.0,926.0,582.0,92.0,107.0,460.0,2967960.0,724040.0,620640.0,389983.0,387158.0,485996.0,360143.0,437313.0,441594.0,439900.0,440453.0,438327.0,387319.0,383054.0,25163.0,10281.0,14880.0,88.0,3951.0,5726.0,8389.0,5194.0,1813.0,42.0,1896.0,3243.0,2591.0,1405.0,1104.0,46.0,2055.0
21,2020,1,골목상권,2110981,국악고교사거리,91003791.0,129724840.0,123171245.0,117712233.0,218039960.0,134001036.0,9.0,91.0,15240.0,7010.0,0.0,7010.0,12718.0,353.0,101.0,1184.0,1370.0,810.0,105.0,33.0,4.0,4144442.0,1047737.0,869710.0,542862.0,524084.0,663539.0,496511.0,609109.0,611755.0,610209.0,606926.0,599320.0,553700.0,553424.0,12364.0,8276.0,4081.0,26.0,1850.0,3425.0,3176.0,2214.0,1667.0,9.0,980.0,2320.0,2252.0,1450.0,1265.0,17.0,870.0
22,2020,1,골목상권,2110983,국립국악고등학교,29270736.0,106555889.0,154976454.0,162299155.0,247802942.0,170668340.0,3.0,91.0,12763.0,5606.0,0.0,5606.0,4618.0,297.0,65.0,850.0,1046.0,649.0,112.0,57.0,79.0,3017764.0,791155.0,634860.0,379037.0,370098.0,473807.0,368808.0,439646.0,440116.0,442166.0,440216.0,437721.0,409489.0,408407.0,3839.0,2458.0,1378.0,13.0,616.0,955.0,928.0,708.0,615.0,2.0,285.0,601.0,613.0,465.0,491.0,11.0,331.0
23,2020,1,골목상권,2110984,포이초등학교(개포목련어린이공원),75058661.0,110742822.0,124206991.0,102986739.0,243090789.0,142264333.0,12.0,91.0,14766.0,6343.0,0.0,6343.0,8520.0,353.0,86.0,1263.0,1237.0,767.0,161.0,48.0,232.0,3375843.0,1001939.0,749031.0,403627.0,367750.0,462483.0,391014.0,488643.0,492512.0,490697.0,486571.0,483035.0,464165.0,470217.0,6978.0,4388.0,2576.0,20.0,1326.0,1967.0,1598.0,1256.0,799.0,13.0,815.0,1286.0,925.0,757.0,593.0,7.0,511.0
24,2020,1,골목상권,2110985,청담근린공원,54157415.0,43322854.0,43845296.0,52704308.0,84365030.0,67394802.0,3.0,91.0,8275.0,3662.0,0.0,3662.0,14787.0,98.0,0.0,55.0,202.0,148.0,87.0,80.0,1816.0,2115592.0,463583.0,443063.0,308687.0,306036.0,357508.0,236716.0,307040.0,319018.0,315665.0,320605.0,317400.0,278437.0,257430.0,13450.0,8818.0,4631.0,66.0,2379.0,3877.0,3557.0,2503.0,1067.0,35.0,1141.0,2595.0,2592.0,1729.0,726.0,31.0,1238.0
25,2020,1,골목상권,2110988,청담역 3번,14320814.0,28494466.0,22067810.0,26302309.0,54506191.0,46723899.0,3.0,91.0,8783.0,3308.0,0.0,3308.0,20493.0,70.0,2.0,43.0,118.0,25.0,52.0,110.0,1939.0,1624791.0,287844.0,349545.0,258021.0,258678.0,301404.0,169300.0,238212.0,247186.0,242684.0,246823.0,242000.0,212361.0,195527.0,18904.0,9206.0,9693.0,73.0,3792.0,5684.0,5342.0,2877.0,1132.0,33.0,1221.0,2750.0,2769.0,1638.0,795.0,40.0,2571.0
26,2020,1,골목상권,2110989,대치동아우편취급국,70766322.0,61145380.0,51266191.0,56153509.0,125718941.0,79322899.0,9.0,91.0,14739.0,7734.0,0.0,7734.0,29734.0,326.0,25.0,1837.0,1446.0,694.0,384.0,78.0,584.0,7461823.0,1499037.0,1504284.0,1167499.0,1155901.0,1341648.0,793456.0,1126039.0,1157219.0,1137602.0,1156768.0,1121477.0,906464.0,856254.0,29297.0,17970.0,11322.0,140.0,4768.0,8716.0,7970.0,4868.0,2828.0,17.0,2007.0,5273.0,5502.0,3456.0,1716.0,123.0,2761.0
27,2020,1,골목상권,2110992,도곡초등학교,129397062.0,153477618.0,162369897.0,168270671.0,320836336.0,238641904.0,18.0,91.0,32191.0,13917.0,0.0,13917.0,15042.0,641.0,57.0,2164.0,1782.0,1020.0,414.0,367.0,2512.0,10234017.0,2362225.0,2001431.0,1343212.0,1400782.0,1872305.0,1254062.0,1461910.0,1480582.0,1469551.0,1478664.0,1451967.0,1450029.0,1441311.0,12871.0,6861.0,6004.0,63.0,2365.0,3393.0,3003.0,2467.0,1572.0,35.0,940.0,1769.0,1666.0,1432.0,1018.0,28.0,1425.0
28,2020,1,골목상권,2110994,개포고등학교,26049534.0,33458229.0,28921359.0,30298264.0,43686924.0,42457835.0,6.0,91.0,9896.0,3967.0,0.0,3967.0,5134.0,110.0,6.0,202.0,212.0,112.0,62.0,4.0,2020.0,1564002.0,495970.0,329473.0,161689.0,157179.0,216190.0,203503.0,226481.0,223143.0,220504.0,221602.0,219991.0,224475.0,227805.0,4657.0,2965.0,1676.0,57.0,889.0,1274.0,1059.0,857.0,507.0,24.0,514.0,821.0,664.0,537.0,408.0,33.0,375.0
29,2020,1,골목상권,2110995,봉은사역 4번,9717068.0,18515346.0,23397638.0,27960107.0,50051549.0,38660816.0,3.0,91.0,14569.0,5501.0,0.0,5501.0,85418.0,200.0,2.0,148.0,175.0,100.0,164.0,212.0,3797.0,2968080.0,704347.0,667517.0,392298.0,385276.0,469985.0,348662.0,444614.0,450655.0,441778.0,445740.0,437331.0,379779.0,368182.0,80340.0,61317.0,19016.0,154.0,15900.0,21348.0,21569.0,17001.0,4361.0,88.0,10163.0,16112.0,17810.0,14553.0,2591.0,66.0,5737.0
30,2020,1,골목상권,2110996,대치2동주민센터,14417290.0,22913443.0,26588746.0,26938446.0,39228790.0,22037450.0,3.0,91.0,17574.0,6487.0,0.0,6487.0,39859.0,305.0,11.0,322.0,478.0,404.0,290.0,403.0,3691.0,4846758.0,964852.0,945924.0,698905.0,738669.0,932545.0,565861.0,709519.0,723629.0,710395.0,715907.0,702991.0,647434.0,636884.0,37904.0,18080.0,19821.0,265.0,7022.0,9437.0,8584.0,7750.0,4842.0,106.0,3263.0,5619.0,4641.0,2694.0,1756.0,159.0,3759.0
31,2020,1,골목상권,2110997,대청초등학교,412124862.0,419558513.0,297544730.0,351114825.0,876284527.0,655189342.0,24.0,91.0,27160.0,11884.0,0.0,11884.0,14290.0,280.0,2.0,457.0,1369.0,678.0,429.0,308.0,887.0,6740277.0,2142792.0,1425870.0,692699.0,644845.0,918842.0,915229.0,964789.0,977663.0,973304.0,972366.0,960251.0,941387.0,950516.0,12617.0,4876.0,7692.0,31.0,3480.0,3887.0,2620.0,1655.0,901.0,3.0,781.0,1456.0,1134.0,859.0,649.0,28.0,2699.0
32,2020,1,골목상권,2110999,윗방죽마을공원,121497776.0,132840096.0,99829654.0,117759798.0,250217437.0,210239112.0,6.0,91.0,17420.0,9451.0,0.0,9451.0,732.0,15.0,0.0,2.0,59.0,199.0,287.0,393.0,1363.0,756619.0,194189.0,160424.0,89961.0,90093.0,124275.0,97679.0,107699.0,107803.0,107460.0,107138.0,106120.0,108990.0,111410.0,468.0,257.0,208.0,3.0,35.0,80.0,86.0,139.0,121.0,1.0,17.0,50.0,56.0,81.0,52.0,2.0,18.0
33,2020,1,골목상권,2111000,대왕초등학교(세곡동사거리서남측),0.0,883084.0,4677904.0,4068272.0,12397878.0,3561321.0,3.0,91.0,4638.0,1757.0,0.0,1757.0,333.0,,,,,,,,,404982.0,67828.0,82127.0,60224.0,63864.0,82866.0,48073.0,58595.0,59004.0,58968.0,58190.0,59337.0,56734.0,54157.0,299.0,138.0,156.0,6.0,35.0,86.0,93.0,56.0,20.0,3.0,11.0,31.0,49.0,30.0,14.0,3.0,24.0
34,2020,1,골목상권,2111002,한국교통안전공단 강남자동차검사소,0.0,21689674.0,32569003.0,34086767.0,17342382.0,0.0,3.0,91.0,,,,,886.0,,,,,,,,,16246.0,2265.0,3202.0,2723.0,3133.0,3268.0,1655.0,2446.0,2470.0,2478.0,2424.0,2445.0,2100.0,1882.0,572.0,334.0,235.0,0.0,41.0,89.0,114.0,175.0,150.0,0.0,16.0,52.0,64.0,100.0,102.0,0.0,25.0
35,2020,2,골목상권,2110949,한남IC,95961281.0,135876808.0,153696176.0,128501786.0,197808643.0,142678147.0,6.0,91.0,9746.0,4010.0,0.0,4010.0,13843.0,62.0,5.0,264.0,180.0,72.0,62.0,49.0,1867.0,3688457.0,658977.0,672933.0,557967.0,610575.0,770151.0,417853.0,533450.0,541526.0,548207.0,550085.0,562243.0,508440.0,444502.0,12162.0,7678.0,4482.0,41.0,2351.0,3690.0,3261.0,1910.0,907.0,23.0,1063.0,2371.0,2209.0,1313.0,699.0,18.0,1288.0
36,2020,2,골목상권,2110951,신사은행나무공원,30728316.0,17674747.0,25787338.0,27373302.0,52150733.0,51409751.0,3.0,91.0,6882.0,3713.0,0.0,3713.0,13198.0,124.0,16.0,512.0,350.0,128.0,86.0,71.0,131.0,4238215.0,761782.0,776468.0,665587.0,711744.0,857821.0,464815.0,629418.0,637874.0,647315.0,644329.0,651554.0,550580.0,477143.0,12927.0,7220.0,5705.0,52.0,3507.0,3777.0,2858.0,1670.0,1061.0,15.0,1315.0,2106.0,1920.0,1102.0,763.0,37.0,2192.0
37,2020,2,골목상권,2110952,논현목련공원,41106802.0,32377198.0,26956026.0,26696555.0,50665888.0,49316177.0,3.0,91.0,9735.0,6191.0,0.0,6191.0,10754.0,200.0,25.0,911.0,1053.0,147.0,159.0,84.0,141.0,3352507.0,801797.0,697980.0,445038.0,443903.0,560356.0,403434.0,497708.0,495640.0,497235.0,494615.0,492950.0,448111.0,426246.0,10639.0,6885.0,3752.0,21.0,2104.0,3370.0,2518.0,1670.0,954.0,15.0,1135.0,2250.0,1740.0,1096.0,649.0,6.0,969.0
38,2020,2,골목상권,2110954,국기원,8243321.0,13565387.0,19363243.0,22263688.0,45977165.0,17831141.0,3.0,91.0,4113.0,2848.0,0.0,2848.0,23832.0,55.0,6.0,313.0,228.0,70.0,49.0,50.0,69.0,4197308.0,474354.0,717253.0,733973.0,814360.0,1027596.0,429773.0,624531.0,631402.0,636435.0,639384.0,666094.0,567017.0,432444.0,23199.0,12840.0,10356.0,110.0,5238.0,7616.0,5998.0,2944.0,1290.0,31.0,1823.0,3964.0,3878.0,2178.0,968.0,79.0,3415.0
