기준_년월_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드
202112,D,발달상권,2120220,대치역,205483,443898,11680,11680600
202112,D,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",204322,446563,11680,11680565
202112,D,발달상권,2120223,휘문고교사거리,205736,444979,11680,11680610
202112,D,발달상권,2120191,학동역,202610,446011,11680,11680521
202112,D,발달상권,2120216,경기고교사거리(경기고교앞사거리),205001,446821,11680,11680565
202112,R,전통시장,2130308,청담삼익시장,205100,446990,11680,11680565
202112,R,전통시장,2130309,은마종합상점가,205634,444008,11680,11680610
202112,R,전통시장,2130310,강남개포시장,205983,443264,11680,11680670
202112,R,전통시장,2130305,논현종합시장,203037,445602,11680,11680531
202112,R,전통시장,2130302,강남시장(강남구 강남시장),201829,446589,11680,11680510
202112,R,전통시장,2130307,도곡시장,204562,444257,11680,11680650
202112,R,전통시장,2130304,신사상가,202511,448086,11680,11680545
202112,R,전통시장,2130306,강남언주로,203788,445046,11680,11680640
202112,R,전통시장,2130303,영동전통시장,202135,445507,11680,11680521
202112,U,관광특구,1001496,강남 마이스 관광특구,205310,445727,11680,11680580
