index,감귤 | 00 |  | 01 | 소매가격 > 과일류 > 감귤 > 감귤 > 상품 > 10개,감귤 | 00 |  | 01 | 소매가격 > 과일류 > 감귤 > 감귤 > 중품 > 10개,감귤 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 감귤 > 감귤 > 상품 > 1kg,감귤 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 감귤 > 감귤 > 중품 > 1kg,단감 | 00 |  | 01 | 소매가격 > 과일류 > 단감 > 단감 > 상품 > 10개,단감 | 00 |  | 01 | 소매가격 > 과일류 > 단감 > 단감 > 중품 > 10개,단감 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 단감 > 단감 > 상품 > 1kg,단감 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 단감 > 단감 > 중품 > 1kg,망고 | 00 |  | 01 | 소매가격 > 과일류 > 망고 > 수입 > 상품 > 1개,망고 | 00 |  | 01 | 소매가격 > 과일류 > 망고 > 수입 > 중품 > 1개,망고 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 망고 > 수입 > 상품 > 1kg,망고 | 00 |  | 02 | 중도매인 판매가격 > 과일류 > 망고 > 수입 > 중품 > 1kg,바나나 | 02 |  | 01 | 소매가격 > 과일류 > 바나나 > 수입 > 상품 > 1kg,바나나 | 02 |  | 01 | 소매가격 > 과일류 > 바나나 > 수입 > 중품 > 1kg,바나나 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 바나나 > 수입 > 상품 > 1kg,바나나 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 바나나 > 수입 > 중품 > 1kg,배 | 01 |  | 01 | 소매가격 > 과일류 > 배 > 신고 > 상품 > 10개,배 | 01 |  | 01 | 소매가격 > 과일류 > 배 > 신고 > 중품 > 10개,배 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 배 > 신고 > 상품 > 1kg,배 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 배 > 신고 > 중품 > 1kg,복숭아 | 01 |  | 01 | 소매가격 > 과일류 > 복숭아 > 백도 > 상품 > 10개,복숭아 | 01 |  | 01 | 소매가격 > 과일류 > 복숭아 > 백도 > 중품 > 10개,복숭아 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 복숭아 > 백도 > 상품 > 1kg,복숭아 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 복숭아 > 백도 > 중품 > 1kg,사과 | 05 | 1 | 01 | 소매가격 > 과일류 > 사과 > 후지 > 상품 > 10개,사과 | 05 | 1 | 02 | 중도매인 판매가격 > 과일류 > 사과 > 후지 > 상품 > 1kg,사과 | 05 | 2 | 01 | 소매가격 > 과일류 > 사과 > 후지 > 중품(일반 소비용) > 10개,사과 | 05 | 2 | 02 | 중도매인 판매가격 > 과일류 > 사과 > 후지 > 중품(일반 소비용) > 1kg,오렌지 | 02 |  | 01 | 소매가격 > 과일류 > 오렌지 > 수입 > 상품 > 10개,오렌지 | 02 |  | 01 | 소매가격 > 과일류 > 오렌지 > 수입 > 중품 > 10개,오렌지 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 오렌지 > 수입 > 상품 > 1kg,오렌지 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 오렌지 > 수입 > 중품 > 1kg,자몽 | 00 |  | 01 | 소매가격 > 과일류 > 자몽 > 수입 > 상품 > 10개,자몽 | 00 |  | 01 | 소매가격 > 과일류 > 자몽 > 수입 > 중품 > 10개,파인애플 | 02 |  | 01 | 소매가격 > 과일류 > 파인애플 > 수입 > 상품 > 1개,파인애플 | 02 |  | 01 | 소매가격 > 과일류 > 파인애플 > 수입 > 중품 > 1개,파인애플 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 파인애플 > 수입 > 상품 > 1kg,파인애플 | 02 |  | 02 | 중도매인 판매가격 > 과일류 > 파인애플 > 수입 > 중품 > 1kg,포도 | 01 |  | 01 | 소매가격 > 과일류 > 포도 > 캠벨얼리 > L과 > 1kg,포도 | 01 |  | 01 | 소매가격 > 과일류 > 포도 > 캠벨얼리 > M과 > 1kg,포도 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 캠벨얼리 > L과 > 1kg,포도 | 01 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 캠벨얼리 > M과 > 1kg,포도 | 12 |  | 01 | 소매가격 > 과일류 > 포도 > 샤인머스켓 > L과 > 1kg,포도 | 12 |  | 01 | 소매가격 > 과일류 > 포도 > 샤인머스켓 > M과 > 1kg,포도 | 12 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 샤인머스켓 > L과 > 1kg,포도 | 12 |  | 02 | 중도매인 판매가격 > 과일류 > 포도 > 샤인머스켓 > M과 > 1kg
2022-11,,,,,"11,229","7,385","3,283","2,783","5,930",,"10,905","9,905","3,080","2,710","2,354","1,969","29,971","20,791","2,604","2,264",,,,,"25,379","3,824","15,129","3,324",,,,,,,"6,327",,"2,256","1,840",,"7,269","4,280","3,280","11,730","11,536","9,000","6,500"
2022-12,,,,,"12,859","7,715","3,812","3,278","5,133",,"8,974","7,974","2,970","2,740","2,147","1,762","29,763","22,089","2,636","2,302",,,,,"23,994","4,001","15,676","3,501",,,,,,,"6,015",,"2,354","1,937",,,,,"14,995","12,073","8,891","6,391"
2022-2,,,,,"16,270","14,026","5,028","4,438","5,727",,"9,196","8,196","3,120","2,890","2,133","1,749","37,676","25,438","3,554","3,128",,,,,"27,964","4,971","19,863","4,394",,,,,,,"5,993","5,191","2,259","1,843",,,,,"22,157","21,972",,
2022-3,,,,,"17,138","11,648","6,223","5,723","4,559",,"7,600","6,600","3,200","2,980","2,327","1,942","38,439","26,068","3,320","2,987",,,,,"29,353","3,891","21,123","3,391",,,,,,,"5,993","5,330","2,483","2,066",,,,,"33,325",,,
2022-4,,,,,,,,,"4,743",,"7,810","6,810","3,120","2,970","2,478","2,093","34,467","28,046","3,481","3,148",,,,,"30,750","4,280","19,038","3,780",,,,,,,"6,089","5,520","2,611","2,194",,,,,,,,
2022-5,,,,,,,,,"4,463",,"8,459","7,459","3,180","2,790","2,610","2,226","36,148","30,204","3,852","3,519",,,,,"31,310","3,995","21,076","3,495",,,,,,,"6,160","5,663","2,667","2,250",,,,,,,,
2022-6,,,,,,,,,"4,446",,"10,312","9,312","3,320","2,800","2,537","2,152","36,706","29,892","4,449","3,932",,,"6,022","4,911","31,185","5,150","21,744","4,325",,,,,,,"6,210","5,630","2,667","2,250",,,,,,,,
2022-7,,,,,,,,,,,"10,634","9,634","3,350","2,800","2,008","1,623","36,050","32,936","5,021","4,354","21,292",,"6,052","4,941","32,523","5,930","22,543","4,930",,,,,,,"6,327","5,316","2,169","1,752",,"15,765",,,,"30,016","19,915","17,415"
2022-8,,,,,,,,,,,"11,436","10,436","3,260","2,800","2,036","1,652","36,963","29,445","4,694","4,106","21,579",,"5,222","4,111","33,732","5,930","22,263","4,930",,,,,,,"6,327","5,000","2,406","1,990",,"12,408","4,962","3,852",,"23,943","17,543","15,048"
2022-9,,,,,,,,,"7,365",,"13,206","12,206","3,100","2,800","2,324","1,940","37,928","24,166","3,031","2,698","25,671",,"5,003","3,892",,,,,,,,,,,"6,327",,"2,830","2,413",,"8,099","3,979","2,956","14,613","18,078","13,925","11,575"
2023-1,,,,,"12,371","8,311","3,775","3,116","6,340",,"10,801","9,801","3,030","2,750","2,168","1,784","30,477","24,468","2,965","2,565",,,,,"23,908","4,386","16,848","3,886",,,,,,,"6,215",,"2,363","1,947",,,,,"13,687","11,352","8,900","6,400"
2023-10,,,,,"18,735","13,022","4,614","4,038","7,055","4,823",,,"3,540","3,100","2,794","2,486","32,311","23,663","3,947","3,566",,,,,"30,442","7,296","24,754","6,801",,,,,,,"7,157","6,619","3,343","3,029","10,655","11,213","8,960","7,760","10,889",,"7,116","6,127"
2023-11,,,,,"15,578","11,029","4,569","3,992","6,327","4,852","11,615","10,621","3,520","3,020","2,614","2,292","27,250","20,983","4,361","3,961",,,,,"26,603","7,577","19,355","7,020",,,,,,,"8,543","7,289","3,260","2,952",,,,,"9,876",,"7,709","6,700"
2023-12,,,,,"15,998","13,095","5,485","4,903","5,665","4,014","8,474","7,597","3,300","3,010","2,238","2,007","33,703","27,236","4,779","4,321",,,,,"26,479","9,161","19,982","8,264",,,,,,,"7,945","5,594","2,893","2,590",,,,,"10,929",,"8,179","7,179"
2023-2,,,,,"12,209","8,480","3,591","3,031","6,140",,"9,226","8,226","3,170","2,940","2,409","2,025","34,340","22,642","2,953","2,619",,,,,"24,690","4,336","17,183","3,836",,,,,,,"6,240",,"2,341","1,924",,,,,"12,470","11,094","8,253","5,753"
2023-3,,,,,"11,596","8,930",,,"5,514","3,763","8,727","7,757","3,210","3,000","2,778","2,393","30,648","22,873","2,759","2,427",,,,,"24,385","4,124","16,235","3,624",,,,,,,"6,715","6,591","2,481","2,064",,,,,,"12,081",,
2023-4,,,,,,,,,"5,529","3,595","8,700","8,004","3,330","3,290","2,806","2,422","29,387","23,653","2,575","2,275",,,,,"24,446","4,566","17,713","4,059",,,,,,,"7,324","6,626","2,724","2,378",,,,,,"9,935",,
2023-5,,,,,,,,,"4,916","3,559","8,039","7,504","3,440","3,340","2,657","2,345","29,628","22,933","2,865","2,575",,,,,"24,369","5,212","18,574","4,541",,,,,,,"7,451","6,767","2,962","2,760",,,,,,,,
2023-6,,,,,,,,,"5,100","3,609","8,036","7,630","3,280","3,230","2,414","2,232","27,524","21,852","3,623","3,147",,,,,"24,547","6,515","19,324","5,450",,,,,,,"7,286","6,248","2,945","2,775",,,,,,,,
2023-7,,,,,,,,,"5,291","3,575","9,130","8,583","3,220","3,040","2,282","2,088","27,737","19,916","3,990","3,480","22,813",,"6,569","5,128","27,518","8,171","19,995","6,201",,,,,,,"6,952","5,187","2,824","2,657","16,123","15,183","10,467","9,413","24,687",,"15,800","13,667"
2023-8,,,,,,,,,"7,006","4,030","12,690","11,620","3,260","2,970","2,372","2,177","31,745","19,768","4,221","3,613","26,070",,"9,055","7,405","23,361","8,920","20,717","6,480",,,,,,,"6,782","5,205","2,811","2,627","12,612","12,312","10,473","9,335","18,349","17,555","15,150","12,264"
2023-9,,,,,,,,,"7,759","4,885",,,"3,480","3,160","2,508","2,277","29,947","22,853","4,192","3,882","32,215",,"10,050","7,550",,,,,,,,,,,"7,079","6,006","3,190","2,905","10,994","8,924","8,644","7,652","13,827",,"9,160","7,815"
2024-1,,,,,"17,406","15,549","5,686","5,128","6,077","4,430","10,556","9,696","3,330","3,160","2,502","2,106","31,339","24,556","5,100","4,643",,,,,"26,232","9,756","21,259","8,777",,,,,,,"8,271","6,862","2,755","2,447",,,,,"12,284",,"10,100","8,573"
2024-2,,,,,"22,351","20,438","6,677","5,679","4,524",,"7,909","6,992","3,350","3,100","2,660","2,212","36,293","28,954","5,987","5,013",,,,,"26,519","10,347","21,458","8,674",,,,,,,"8,213","7,639","2,895","2,474",,,,,"13,552",,"13,569","10,258"
2024-3,,,,,"20,626","17,957",,"5,860","3,448","3,193","6,767","6,185","3,320","3,000","2,643","2,393","39,940","31,211","6,987","5,747",,,,,"25,130","10,045","18,838","8,945",,,,,,,"7,318","5,104","2,668","2,448",,,,,"15,357",,"15,200","11,800"
2024-4,,,,,"18,112",,,,"3,474","2,868","7,248","6,871","2,960","2,790","2,491","2,272","40,945","31,830","9,032","7,933",,,,,"22,603","11,257","17,562","10,248",,,,,,,"6,809","5,784","2,386","2,140",,,,,"17,080",,,
2024-5,,,,,,,,,"3,700","2,780","7,589","6,951","2,570","2,570","2,380","2,112","47,681","39,379","9,840","9,173",,,,,"29,427","11,640","23,919","10,775",,,,,,,"6,728","5,416","2,549","2,305",,,,,,,,
2024-6,,,,,,,,,"4,293","3,182","8,061","7,029","2,710","2,430","2,122","1,824","64,572","41,167","10,877","10,218",,,,,"34,542","11,232","24,991","10,379",,,,,,,"7,209","6,990","2,853","2,621",,,,,,,,
2024-7,,,,,,,,,"4,826","3,230","9,815","7,639","2,780","2,340","1,877","1,581","88,002","56,259","11,520","10,180","18,776","14,005","5,508","4,142","31,409","10,100","22,822","9,100",,,,,,,"7,203","5,096","2,493","2,198","13,133","13,781","5,340","4,580","19,906",,"11,100","8,650"
