,MODEL_NM,SERIAL_NO,SENSING_TIME,REGION,AUTONOMOUS_DISTRICT,ADMINISTRATIVE_DISTRICT,VISITOR_COUNT,REG_DTTM
436,SDOT001,00000004021,2023-08-10_23:06:00,parks,Eunpyeong-gu,Nokbeon-dong,4,2023-08-10 23:18:03
437,SDOT001,00000003000,2023-08-10_23:02:00,traditional_markets,Guro-gu,Gocheok2-dong,139,2023-08-10 23:18:03
438,SDOT001,00000003029,2023-08-10_23:02:00,public_facilities,Geumcheon-gu,Siheung2-dong,133,2023-08-10 23:18:03
439,SDOT001,00000004035,2023-08-10_23:05:00,main_street,Gwanak-gu,Nakseongdae-dong,46,2023-08-10 23:18:03
440,SDOT001,00000004048,2023-08-10_23:04:00,main_street,Gwangjin-gu,Guui1-dong,47,2023-08-10 23:18:03
441,SDOT001,00000004047,2023-08-10_23:06:00,traditional_markets,Gwangjin-gu,Hwayang-dong,84,2023-08-10 23:18:03
442,SDOT001,00000004020,2023-08-10_23:06:00,main_street,Yongsan-gu,Itaewon2-dong,0,2023-08-10 23:18:02
443,SDOT001,00000004037,2023-08-10_23:05:00,main_street,Jongno-gu,Gahoe-dong,0,2023-08-10 23:18:02
444,SDOT001,00000004019,2023-08-10_23:00:00,main_street,Jung-gu,Hoehyeon-dong,3,2023-08-10 23:18:02
445,SDOT001,00000004060,2023-08-10_23:01:00,parks,Seoul_Grand_Park,women_parking1,0,2023-08-10 23:18:01
446,SDOT001,00000004036,2023-08-10_23:00:00,main_street,Yangcheon-gu,Sinjeong4-dong,40,2023-08-10 23:18:01
447,SDOT001,00000003027,2023-08-10_23:02:00,traditional_markets,Gangbuk-gu,Mia-dong,158,2023-08-10 23:18:01
448,SDOT001,00000004015,2023-08-10_23:00:00,main_street,Jung-gu,Gwanghui-dong,119,2023-08-10 23:18:01
449,SDOT001,00000004030,2023-08-10_23:07:00,parks,Gangbuk-gu,Beon3-dong,1,2023-08-10 23:18:01
450,SDOT001,00000003040,2023-08-10_23:02:00,traditional_markets,Gangbuk-gu,Suyu1-dong,137,2023-08-10 23:18:01
451,SDOT001,00000004018,2023-08-10_23:05:00,main_street,Jung-gu,Myeong-dong,52,2023-08-10 23:18:01
452,SDOT001,00000004016,2023-08-10_23:05:00,main_street,Jung-gu,Myeong-dong,106,2023-08-10 23:18:01
453,SDOT001,00000004064,2023-08-10_23:07:00,parks,Seoul_Grand_Park,skylift,0,2023-08-10 23:18:01
454,SDOT001,00000004061,2023-08-10_23:05:00,parks,Seoul_Grand_Park,women_parking2,0,2023-08-10 23:18:01
455,SDOT001,00000004062,2023-08-10_23:05:00,parks,Seoul_Grand_Park,meeting_bridge1,0,2023-08-10 23:18:01
456,SDOT001,00000004065,2023-08-10_23:01:00,parks,Seoul_Grand_Park,trail,0,2023-08-10 23:18:01
457,SDOT001,00000004063,2023-08-10_23:07:00,parks,Seoul_Grand_Park,valet_parking2,0,2023-08-10 23:18:01
458,SDOT001,00000004053,2023-08-10_23:00:00,residential_area,Gwangjin-gu,Gwangjang-dong,0,2023-08-10 23:18:00
459,SDOT001,00000004017,2023-08-10_23:00:00,main_street,Jung-gu,Buam-dong,10,2023-08-10 23:18:00
460,SDOT001,00000004029,2023-08-10_23:07:00,traditional_markets,Gangbuk-gu,Suyu3-dong,25,2023-08-10 23:18:00
461,SDOT001,00000004014,2023-08-10_23:06:00,main_street,Jung-gu,Sindang-dong,45,2023-08-10 23:18:00
462,SDOT001,00000003023,2023-08-10_23:02:00,traditional_markets,Jungnang-gu,Junghwa2-dong,167,2023-08-10 23:18:00
463,SDOT001,00000003018,2023-08-10_23:02:00,traditional_markets,Jungnang-gu,Muk2-dong,127,2023-08-10 23:18:00
464,SDOT001,00000004010,2023-08-10_22:55:00,main_street,Gangnam-gu,Yeoksam1-dong,79,2023-08-10 23:08:06
465,SDOT001,00000003039,2023-08-10_22:51:00,traditional_markets,Dongjak-gu,Sadang2-dong,187,2023-08-10 23:08:06
466,SDOT001,00000003011,2023-08-10_22:51:00,traditional_markets,Gangnam-gu,Gaepo2-dong,299,2023-08-10 23:08:06
467,SDOT001,00000004009,2023-08-10_22:56:00,main_street,Gangnam-gu,Daechi4-dong,74,2023-08-10 23:08:06
468,SDOT001,00000004001,2023-08-10_22:50:00,main_street,Seocho-gu,Seocho3-dong,8,2023-08-10 23:08:06
469,SDOT001,00000003005,2023-08-10_22:51:00,traditional_markets,Gangnam-gu,Yeoksam2-dong,177,2023-08-10 23:08:06
470,SDOT001,00000004002,2023-08-10_22:56:00,main_street,Seocho-gu,Seocho4-dong,40,2023-08-10 23:08:06
471,SDOT001,00000004005,2023-08-10_22:52:00,main_street,Seocho-gu,Yangjae1-dong,34,2023-08-10 23:08:06
472,SDOT001,00000002994,2023-08-10_22:51:00,traditional_markets,Dongjak-gu,Sang-do1-dong,214,2023-08-10 23:08:06
473,SDOT001,00000003033,2023-08-10_22:51:00,traditional_markets,Dongjak-gu,Sadang2-dong,193,2023-08-10 23:08:06
474,SDOT001,00000003020,2023-08-10_22:51:00,traditional_markets,Gangnam-gu,Nonhyeon1-dong,234,2023-08-10 23:08:06
475,SDOT001,00000003021,2023-08-10_22:51:00,traditional_markets,Dongjak-gu,Sang-do1-dong,177,2023-08-10 23:08:06
476,SDOT001,00000004046,2023-08-10_22:50:00,main_street,Gangnam-gu,Sinsa-dong,23,2023-08-10 23:08:06
477,SDOT001,00000004004,2023-08-10_22:56:00,main_street,Seocho-gu,Banpo3-dong,32,2023-08-10 23:08:06
478,SDOT001,00000004032,2023-08-10_22:54:00,main_street,Mapo-gu,Mangwon-dong1,13,2023-08-10 23:08:05
479,SDOT001,00000004049,2023-08-10_22:52:00,traditional_markets,Seodaemun-gu,Hongje3-dong,7,2023-08-10 23:08:05
480,SDOT001,00000004050,2023-08-10_22:56:00,public_facilities,Seodaemun-gu,Cheonyeon-dong,0,2023-08-10 23:08:05
481,SDOT001,00000004043,2023-08-10_22:50:00,parks,Seongdong-gu,Seongsu1ga1-dong,2,2023-08-10 23:08:05
482,SDOT001,00000003008,2023-08-10_22:51:00,traditional_markets,Yangcheon-gu,Mok3-dong,176,2023-08-10 23:08:05
483,SDOT001,00000003038,2023-08-10_22:51:00,traditional_markets,Mapo-gu,Seogyo-dong,122,2023-08-10 23:08:05
484,SDOT001,00000004031,2023-08-10_22:50:00,traditional_markets,Seodaemun-gu,Hongje3-dong,7,2023-08-10 23:08:05
485,SDOT001,00000002995,2023-08-10_22:51:00,traditional_markets,Gwangjin-gu,Junggok1-dong,171,2023-08-10 23:08:05
486,SDOT001,00000004042,2023-08-10_22:57:00,main_street,Seongdong-gu,Seongsu1ga2-dong,0,2023-08-10 23:08:05
487,SDOT001,00000004033,2023-08-10_22:50:00,main_street,Gangdong-gu,Cheonho1-dong,16,2023-08-10 23:08:05
488,SDOT001,00000004045,2023-08-10_22:52:00,parks,Seoul_Grand_Park,valet_parking1,0,2023-08-10 23:08:05
489,SDOT001,00000003026,2023-08-10_22:51:00,traditional_markets,Guro-gu,Gu-ro4-dong,139,2023-08-10 23:08:05
490,SDOT001,00000003016,2023-08-10_22:51:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,170,2023-08-10 23:08:05
491,SDOT001,00000003002,2023-08-10_22:51:00,traditional_markets,Mapo-gu,Mangwon-dong1,140,2023-08-10 23:08:05
492,SDOT001,00000003017,2023-08-10_22:51:00,traditional_markets,Guro-gu,Gu-ro4-dong,123,2023-08-10 23:08:05
493,SDOT001,00000002992,2023-08-10_22:51:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,197,2023-08-10 23:08:05
494,SDOT001,00000003035,2023-08-10_22:51:00,traditional_markets,Songpa-gu,Jamsilbon-dong,141,2023-08-10 23:08:05
495,SDOT001,00000004034,2023-08-10_22:55:00,parks,Songpa-gu,Jamsil6-dong,0,2023-08-10 23:08:05
496,SDOT001,00000003003,2023-08-10_22:51:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,213,2023-08-10 23:08:05
497,SDOT001,00000003041,2023-08-10_22:52:00,traditional_markets,Guro-gu,Gu-ro4-dong,128,2023-08-10 23:08:05
498,SDOT001,00000004035,2023-08-10_22:55:00,main_street,Gwanak-gu,Nakseongdae-dong,52,2023-08-10 23:08:04
499,SDOT001,00000004007,2023-08-10_22:57:00,main_street,Gangdong-gu,Seongnae1-dong,9,2023-08-10 23:08:04
500,SDOT001,00000003028,2023-08-10_22:51:00,traditional_markets,Nowon-gu,Sanggye2-dong,171,2023-08-10 23:08:04
501,SDOT001,00000003007,2023-08-10_22:51:00,traditional_markets,Nowon-gu,Gongneung1-dong,184,2023-08-10 23:08:04
502,SDOT001,00000003034,2023-08-10_22:51:00,traditional_markets,Gwanak-gu,Sinwon-dong,268,2023-08-10 23:08:04
503,SDOT001,00000003013,2023-08-10_22:51:00,traditional_markets,Dobong-gu,Chang2-dong,141,2023-08-10 23:08:04
504,SDOT001,00000003019,2023-08-10_22:51:00,traditional_markets,Dobong-gu,Chang3-dong,142,2023-08-10 23:08:04
505,SDOT001,00000002993,2023-08-10_22:51:00,traditional_markets,Dobong-gu,Chang2-dong,143,2023-08-10 23:08:04
506,SDOT001,00000003010,2023-08-10_22:51:00,traditional_markets,Dobong-gu,Chang2-dong,157,2023-08-10 23:08:04
507,SDOT001,00000003015,2023-08-10_22:51:00,traditional_markets,Dobong-gu,Chang3-dong,114,2023-08-10 23:08:04
508,SDOT001,00000003001,2023-08-10_22:51:00,traditional_markets,Nowon-gu,Gongneung1-dong,132,2023-08-10 23:08:04
509,SDOT001,00000004013,2023-08-10_22:56:00,main_street,Gangnam-gu,Apgujeong-dong,20,2023-08-10 23:08:04
510,SDOT001,00000004006,2023-08-10_22:50:00,parks,Gangdong-gu,Amsa3-dong,1,2023-08-10 23:08:04
511,SDOT001,00000003022,2023-08-10_22:51:00,traditional_markets,Gwanak-gu,Sinwon-dong,185,2023-08-10 23:08:04
512,SDOT001,00000004027,2023-08-10_22:50:00,main_street,Gangseo-gu,Deungchon-dong1,17,2023-08-10 23:08:04
513,SDOT001,00000004026,2023-08-10_22:52:00,main_street,Gangseo-gu,Gayang-dong1,19,2023-08-10 23:08:04
514,SDOT001,00000004024,2023-08-10_22:55:00,traditional_markets,Gangseo-gu,Banghwa1-dong,15,2023-08-10 23:08:04
515,SDOT001,00000004051,2023-08-10_22:51:00,commercial_area,Gangdong-gu,Buam-dong,11,2023-08-10 23:08:04
516,SDOT001,00000003032,2023-08-10_22:51:00,traditional_markets,Gangseo-gu,Hwagok-dong1,167,2023-08-10 23:08:04
517,SDOT001,00000004028,2023-08-10_22:56:00,main_street,Dobong-gu,Chang1-dong,0,2023-08-10 23:08:04
518,SDOT001,00000004023,2023-08-10_22:50:00,main_street,Gangseo-gu,Banghwa3-dong,4,2023-08-10 23:08:04
519,SDOT001,00000003012,2023-08-10_22:51:00,public_facilities,Jongno-gu,Sajik-dong,127,2023-08-10 23:08:04
520,SDOT001,00000004040,2023-08-10_22:57:00,main_street,Jongno-gu,Ihwa-dong,1,2023-08-10 23:08:04
521,SDOT001,00000004022,2023-08-10_22:53:00,main_street,Eunpyeong-gu,Daejo-dong,22,2023-08-10 23:08:04
522,SDOT001,00000004038,2023-08-10_22:50:00,main_street,Jongno-gu,Gahoe-dong,0,2023-08-10 23:08:04
523,SDOT001,00000004039,2023-08-10_22:51:00,main_street,Jongno-gu,Samcheong-dong,0,2023-08-10 23:08:04
524,SDOT001,00000003025,2023-08-10_22:51:00,traditional_markets,Gangdong-gu,Amsa1-dong,188,2023-08-10 23:08:04
525,SDOT001,00000002999,2023-08-10_22:51:00,public_facilities,Geumcheon-gu,Doksan4-dong,146,2023-08-10 23:08:04
526,SDOT001,00000004041,2023-08-10_22:50:00,main_street,Jongno-gu,Ihwa-dong,0,2023-08-10 23:08:04
527,SDOT001,00000002996,2023-08-10_22:51:00,traditional_markets,Gangdong-gu,Amsa1-dong,196,2023-08-10 23:08:04
528,SDOT001,00000004037,2023-08-10_22:55:00,main_street,Jongno-gu,Gahoe-dong,0,2023-08-10 23:08:04
529,SDOT001,00000003037,2023-08-10_22:51:00,public_facilities,Geumcheon-gu,Doksan4-dong,120,2023-08-10 23:08:04
530,SDOT001,00000003009,2023-08-10_22:51:00,traditional_markets,Guro-gu,Gocheok2-dong,127,2023-08-10 23:08:04
531,SDOT001,00000003029,2023-08-10_22:51:00,public_facilities,Geumcheon-gu,Siheung2-dong,143,2023-08-10 23:08:04
532,SDOT001,00000004021,2023-08-10_22:56:00,parks,Eunpyeong-gu,Nokbeon-dong,0,2023-08-10 23:08:04
533,SDOT001,00000003000,2023-08-10_22:51:00,traditional_markets,Guro-gu,Gocheok2-dong,128,2023-08-10 23:08:04
534,SDOT001,00000004047,2023-08-10_22:56:00,traditional_markets,Gwangjin-gu,Hwayang-dong,86,2023-08-10 23:08:04
535,SDOT001,00000004048,2023-08-10_22:54:00,main_street,Gwangjin-gu,Guui1-dong,50,2023-08-10 23:08:04
536,SDOT001,00000004020,2023-08-10_22:56:00,main_street,Yongsan-gu,Itaewon2-dong,0,2023-08-10 23:08:04
537,SDOT001,00000003030,2023-08-10_22:51:00,public_facilities,Geumcheon-gu,Gasan-dong,196,2023-08-10 23:08:04
538,SDOT001,00000004061,2023-08-10_22:55:00,parks,Seoul_Grand_Park,women_parking2,0,2023-08-10 23:08:04
539,SDOT001,00000004062,2023-08-10_22:55:00,parks,Seoul_Grand_Park,meeting_bridge1,0,2023-08-10 23:08:04
540,SDOT001,00000004064,2023-08-10_22:57:00,parks,Seoul_Grand_Park,skylift,0,2023-08-10 23:08:04
541,SDOT001,00000004030,2023-08-10_22:57:00,parks,Gangbuk-gu,Beon3-dong,2,2023-08-10 23:08:03
542,SDOT001,00000004063,2023-08-10_22:57:00,parks,Seoul_Grand_Park,valet_parking2,0,2023-08-10 23:08:03
543,SDOT001,00000004065,2023-08-10_22:51:00,parks,Seoul_Grand_Park,trail,0,2023-08-10 23:08:03
544,SDOT001,00000003027,2023-08-10_22:51:00,traditional_markets,Gangbuk-gu,Mia-dong,158,2023-08-10 23:08:03
545,SDOT001,00000004029,2023-08-10_22:56:00,traditional_markets,Gangbuk-gu,Suyu3-dong,11,2023-08-10 23:08:03
546,SDOT001,00000003040,2023-08-10_22:51:00,traditional_markets,Gangbuk-gu,Suyu1-dong,153,2023-08-10 23:08:03
547,SDOT001,00000004053,2023-08-10_22:50:00,residential_area,Gwangjin-gu,Gwangjang-dong,0,2023-08-10 23:08:03
548,SDOT001,00000004018,2023-08-10_22:55:00,main_street,Jung-gu,Myeong-dong,73,2023-08-10 23:08:03
549,SDOT001,00000004016,2023-08-10_22:55:00,main_street,Jung-gu,Myeong-dong,139,2023-08-10 23:08:03
550,SDOT001,00000004019,2023-08-10_22:50:00,main_street,Jung-gu,Hoehyeon-dong,3,2023-08-10 23:08:03
551,SDOT001,00000004014,2023-08-10_22:56:00,main_street,Jung-gu,Sindang-dong,21,2023-08-10 23:08:03
552,SDOT001,00000004036,2023-08-10_22:50:00,main_street,Yangcheon-gu,Sinjeong4-dong,19,2023-08-10 23:08:03
553,SDOT001,00000004017,2023-08-10_22:50:00,main_street,Jung-gu,Buam-dong,11,2023-08-10 23:08:03
554,SDOT001,00000004060,2023-08-10_22:51:00,parks,Seoul_Grand_Park,women_parking1,0,2023-08-10 23:08:03
555,SDOT001,00000003023,2023-08-10_22:51:00,traditional_markets,Jungnang-gu,Junghwa2-dong,142,2023-08-10 23:08:03
556,SDOT001,00000003018,2023-08-10_22:51:00,traditional_markets,Jungnang-gu,Muk2-dong,99,2023-08-10 23:08:03
557,SDOT001,00000004015,2023-08-10_22:50:00,main_street,Jung-gu,Gwanghui-dong,165,2023-08-10 23:08:03
558,SDOT001,00000004004,2023-08-10_22:46:00,main_street,Seocho-gu,Banpo3-dong,29,2023-08-10 22:58:09
559,SDOT001,00000004046,2023-08-10_22:40:00,main_street,Gangnam-gu,Sinsa-dong,39,2023-08-10 22:58:09
560,SDOT001,00000002994,2023-08-10_22:40:00,traditional_markets,Dongjak-gu,Sang-do1-dong,152,2023-08-10 22:58:09
561,SDOT001,00000003033,2023-08-10_22:41:00,traditional_markets,Dongjak-gu,Sadang2-dong,166,2023-08-10 22:58:09
562,SDOT001,00000003021,2023-08-10_22:41:00,traditional_markets,Dongjak-gu,Sang-do1-dong,111,2023-08-10 22:58:09
563,SDOT001,00000003039,2023-08-10_22:41:00,traditional_markets,Dongjak-gu,Sadang2-dong,145,2023-08-10 22:58:09
564,SDOT001,00000004009,2023-08-10_22:46:00,main_street,Gangnam-gu,Daechi4-dong,124,2023-08-10 22:58:09
565,SDOT001,00000004010,2023-08-10_22:45:00,main_street,Gangnam-gu,Yeoksam1-dong,76,2023-08-10 22:58:09
566,SDOT001,00000004001,2023-08-10_22:40:00,main_street,Seocho-gu,Seocho3-dong,14,2023-08-10 22:58:09
567,SDOT001,00000003011,2023-08-10_22:40:00,traditional_markets,Gangnam-gu,Gaepo2-dong,260,2023-08-10 22:58:09
568,SDOT001,00000003005,2023-08-10_22:40:00,traditional_markets,Gangnam-gu,Yeoksam2-dong,219,2023-08-10 22:58:09
569,SDOT001,00000003020,2023-08-10_22:41:00,traditional_markets,Gangnam-gu,Nonhyeon1-dong,36,2023-08-10 22:58:09
570,SDOT001,00000004005,2023-08-10_22:42:00,main_street,Seocho-gu,Yangjae1-dong,40,2023-08-10 22:58:09
571,SDOT001,00000004002,2023-08-10_22:46:00,main_street,Seocho-gu,Seocho4-dong,65,2023-08-10 22:58:09
572,SDOT001,00000004050,2023-08-10_22:46:00,public_facilities,Seodaemun-gu,Cheonyeon-dong,0,2023-08-10 22:58:05
573,SDOT001,00000004032,2023-08-10_22:44:00,main_street,Mapo-gu,Mangwon-dong1,14,2023-08-10 22:58:05
574,SDOT001,00000003008,2023-08-10_22:40:00,traditional_markets,Yangcheon-gu,Mok3-dong,166,2023-08-10 22:58:05
575,SDOT001,00000002992,2023-08-10_22:40:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,187,2023-08-10 22:58:04
576,SDOT001,00000003002,2023-08-10_22:40:00,traditional_markets,Mapo-gu,Mangwon-dong1,131,2023-08-10 22:58:04
577,SDOT001,00000004031,2023-08-10_22:40:00,traditional_markets,Seodaemun-gu,Hongje3-dong,1,2023-08-10 22:58:04
578,SDOT001,00000004042,2023-08-10_22:47:00,main_street,Seongdong-gu,Seongsu1ga2-dong,4,2023-08-10 22:58:04
579,SDOT001,00000003016,2023-08-10_22:41:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,167,2023-08-10 22:58:04
580,SDOT001,00000004043,2023-08-10_22:40:00,parks,Seongdong-gu,Seongsu1ga1-dong,3,2023-08-10 22:58:04
581,SDOT001,00000004045,2023-08-10_22:42:00,parks,Seoul_Grand_Park,valet_parking1,0,2023-08-10 22:58:04
582,SDOT001,00000003003,2023-08-10_22:40:00,traditional_markets,Yangcheon-gu,Sinwol1-dong,201,2023-08-10 22:58:04
583,SDOT001,00000003035,2023-08-10_22:41:00,traditional_markets,Songpa-gu,Jamsilbon-dong,213,2023-08-10 22:58:04
584,SDOT001,00000004034,2023-08-10_22:45:00,parks,Songpa-gu,Jamsil6-dong,0,2023-08-10 22:58:04
585,SDOT001,00000003026,2023-08-10_22:41:00,traditional_markets,Guro-gu,Gu-ro4-dong,97,2023-08-10 22:58:04
586,SDOT001,00000003017,2023-08-10_22:41:00,traditional_markets,Guro-gu,Gu-ro4-dong,127,2023-08-10 22:58:04
587,SDOT001,00000002995,2023-08-10_22:40:00,traditional_markets,Gwangjin-gu,Junggok1-dong,208,2023-08-10 22:58:04
588,SDOT001,00000004033,2023-08-10_22:40:00,main_street,Gangdong-gu,Cheonho1-dong,16,2023-08-10 22:58:04
589,SDOT001,00000003041,2023-08-10_22:41:00,traditional_markets,Guro-gu,Gu-ro4-dong,192,2023-08-10 22:58:04
590,SDOT001,00000004049,2023-08-10_22:42:00,traditional_markets,Seodaemun-gu,Hongje3-dong,14,2023-08-10 22:58:04
591,SDOT001,00000003038,2023-08-10_22:41:00,traditional_markets,Mapo-gu,Seogyo-dong,188,2023-08-10 22:58:04
592,SDOT001,00000004026,2023-08-10_22:42:00,main_street,Gangseo-gu,Gayang-dong1,38,2023-08-10 22:58:03
593,SDOT001,00000004013,2023-08-10_22:46:00,main_street,Gangnam-gu,Apgujeong-dong,47,2023-08-10 22:58:03
594,SDOT001,00000004007,2023-08-10_22:47:00,main_street,Gangdong-gu,Seongnae1-dong,8,2023-08-10 22:58:03
595,SDOT001,00000002993,2023-08-10_22:40:00,traditional_markets,Dobong-gu,Chang2-dong,124,2023-08-10 22:58:03
596,SDOT001,00000003015,2023-08-10_22:41:00,traditional_markets,Dobong-gu,Chang3-dong,105,2023-08-10 22:58:03
597,SDOT001,00000003007,2023-08-10_22:40:00,traditional_markets,Nowon-gu,Gongneung1-dong,172,2023-08-10 22:58:03
598,SDOT001,00000003019,2023-08-10_22:41:00,traditional_markets,Dobong-gu,Chang3-dong,135,2023-08-10 22:58:03
599,SDOT001,00000003013,2023-08-10_22:40:00,traditional_markets,Dobong-gu,Chang2-dong,141,2023-08-10 22:58:03
600,SDOT001,00000003001,2023-08-10_22:40:00,traditional_markets,Nowon-gu,Gongneung1-dong,132,2023-08-10 22:58:03
601,SDOT001,00000003010,2023-08-10_22:40:00,traditional_markets,Dobong-gu,Chang2-dong,214,2023-08-10 22:58:03
602,SDOT001,00000004027,2023-08-10_22:40:00,main_street,Gangseo-gu,Deungchon-dong1,18,2023-08-10 22:58:03
603,SDOT001,00000003028,2023-08-10_22:41:00,traditional_markets,Nowon-gu,Sanggye2-dong,127,2023-08-10 22:58:03
604,SDOT001,00000003022,2023-08-10_22:41:00,traditional_markets,Gwanak-gu,Sinwon-dong,182,2023-08-10 22:58:03
605,SDOT001,00000003034,2023-08-10_22:41:00,traditional_markets,Gwanak-gu,Sinwon-dong,215,2023-08-10 22:58:03
606,SDOT001,00000004006,2023-08-10_22:40:00,parks,Gangdong-gu,Amsa3-dong,5,2023-08-10 22:58:03
607,SDOT001,00000004024,2023-08-10_22:45:00,traditional_markets,Gangseo-gu,Banghwa1-dong,61,2023-08-10 22:58:03
608,SDOT001,00000003032,2023-08-10_22:41:00,traditional_markets,Gangseo-gu,Hwagok-dong1,166,2023-08-10 22:58:03
609,SDOT001,00000004023,2023-08-10_22:40:00,main_street,Gangseo-gu,Banghwa3-dong,11,2023-08-10 22:58:03
610,SDOT001,00000004051,2023-08-10_22:41:00,commercial_area,Gangdong-gu,Buam-dong,32,2023-08-10 22:58:03
611,SDOT001,00000004028,2023-08-10_22:46:00,main_street,Dobong-gu,Chang1-dong,0,2023-08-10 22:58:03
612,SDOT001,00000004062,2023-08-10_22:45:00,parks,Seoul_Grand_Park,meeting_bridge1,0,2023-08-10 22:58:02
613,SDOT001,00000004041,2023-08-10_22:40:00,main_street,Jongno-gu,Ihwa-dong,4,2023-08-10 22:58:02
614,SDOT001,00000003009,2023-08-10_22:40:00,traditional_markets,Guro-gu,Gocheok2-dong,139,2023-08-10 22:58:02
615,SDOT001,00000003025,2023-08-10_22:41:00,traditional_markets,Gangdong-gu,Amsa1-dong,208,2023-08-10 22:58:02
616,SDOT001,00000002996,2023-08-10_22:40:00,traditional_markets,Gangdong-gu,Amsa1-dong,197,2023-08-10 22:58:02
617,SDOT001,00000004048,2023-08-10_22:44:00,main_street,Gwangjin-gu,Guui1-dong,43,2023-08-10 22:58:02
618,SDOT001,00000002999,2023-08-10_22:40:00,public_facilities,Geumcheon-gu,Doksan4-dong,122,2023-08-10 22:58:02
619,SDOT001,00000004021,2023-08-10_22:46:00,parks,Eunpyeong-gu,Nokbeon-dong,0,2023-08-10 22:58:02
620,SDOT001,00000003030,2023-08-10_22:41:00,public_facilities,Geumcheon-gu,Gasan-dong,134,2023-08-10 22:58:02
621,SDOT001,00000003012,2023-08-10_22:40:00,public_facilities,Jongno-gu,Sajik-dong,126,2023-08-10 22:58:02
622,SDOT001,00000003000,2023-08-10_22:40:00,traditional_markets,Guro-gu,Gocheok2-dong,124,2023-08-10 22:58:02
623,SDOT001,00000004039,2023-08-10_22:41:00,main_street,Jongno-gu,Samcheong-dong,0,2023-08-10 22:58:02
624,SDOT001,00000004022,2023-08-10_22:43:00,main_street,Eunpyeong-gu,Daejo-dong,20,2023-08-10 22:58:02
625,SDOT001,00000004037,2023-08-10_22:45:00,main_street,Jongno-gu,Gahoe-dong,0,2023-08-10 22:58:02
626,SDOT001,00000004038,2023-08-10_22:40:00,main_street,Jongno-gu,Gahoe-dong,0,2023-08-10 22:58:02
627,SDOT001,00000004040,2023-08-10_22:47:00,main_street,Jongno-gu,Ihwa-dong,5,2023-08-10 22:58:02
628,SDOT001,00000003037,2023-08-10_22:41:00,public_facilities,Geumcheon-gu,Doksan4-dong,72,2023-08-10 22:58:02
629,SDOT001,00000004020,2023-08-10_22:46:00,main_street,Yongsan-gu,Itaewon2-dong,4,2023-08-10 22:58:02
630,SDOT001,00000003029,2023-08-10_22:41:00,public_facilities,Geumcheon-gu,Siheung2-dong,135,2023-08-10 22:58:02
631,SDOT001,00000004035,2023-08-10_22:45:00,main_street,Gwanak-gu,Nakseongdae-dong,35,2023-08-10 22:58:02
632,SDOT001,00000004047,2023-08-10_22:46:00,traditional_markets,Gwangjin-gu,Hwayang-dong,117,2023-08-10 22:58:02
633,SDOT001,00000004063,2023-08-10_22:48:00,parks,Seoul_Grand_Park,valet_parking2,0,2023-08-10 22:58:02
634,SDOT001,00000004064,2023-08-10_22:47:00,parks,Seoul_Grand_Park,skylift,0,2023-08-10 22:58:02
635,SDOT001,00000003018,2023-08-10_22:41:00,traditional_markets,Jungnang-gu,Muk2-dong,109,2023-08-10 22:58:01
636,SDOT001,00000004065,2023-08-10_22:41:00,parks,Seoul_Grand_Park,trail,0,2023-08-10 22:58:01
637,SDOT001,00000004061,2023-08-10_22:45:00,parks,Seoul_Grand_Park,women_parking2,0,2023-08-10 22:58:01
638,SDOT001,00000004060,2023-08-10_22:41:00,parks,Seoul_Grand_Park,women_parking1,0,2023-08-10 22:58:01
639,SDOT001,00000004017,2023-08-10_22:40:00,main_street,Jung-gu,Buam-dong,24,2023-08-10 22:58:01
640,SDOT001,00000004015,2023-08-10_22:40:00,main_street,Jung-gu,Gwanghui-dong,170,2023-08-10 22:58:01
641,SDOT001,00000004018,2023-08-10_22:45:00,main_street,Jung-gu,Myeong-dong,75,2023-08-10 22:58:01
642,SDOT001,00000004030,2023-08-10_22:47:00,parks,Gangbuk-gu,Beon3-dong,2,2023-08-10 22:58:01
643,SDOT001,00000003027,2023-08-10_22:41:00,traditional_markets,Gangbuk-gu,Mia-dong,156,2023-08-10 22:58:01
644,SDOT001,00000004019,2023-08-10_22:40:00,main_street,Jung-gu,Hoehyeon-dong,9,2023-08-10 22:58:01
645,SDOT001,00000003040,2023-08-10_22:41:00,traditional_markets,Gangbuk-gu,Suyu1-dong,166,2023-08-10 22:58:01
646,SDOT001,00000004029,2023-08-10_22:47:00,traditional_markets,Gangbuk-gu,Suyu3-dong,11,2023-08-10 22:58:01
647,SDOT001,00000004016,2023-08-10_22:45:00,main_street,Jung-gu,Myeong-dong,116,2023-08-10 22:58:01
648,SDOT001,00000004036,2023-08-10_22:40:00,main_street,Yangcheon-gu,Sinjeong4-dong,21,2023-08-10 22:58:01
649,SDOT001,00000003023,2023-08-10_22:41:00,traditional_markets,Jungnang-gu,Junghwa2-dong,166,2023-08-10 22:58:01
650,SDOT001,00000004014,2023-08-10_22:46:00,main_street,Jung-gu,Sindang-dong,22,2023-08-10 22:58:01
651,SDOT001,00000004053,2023-08-10_22:40:00,residential_area,Gwangjin-gu,Gwangjang-dong,0,2023-08-10 22:58:01
