기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대6_생활인구_비율,주간_생활인구_수,야간_생활인구_수,주중_생활인구_수,주말_생활인구_수
2021,4,발달상권,2120208,청담사거리(청담동명품거리),0.10207494601461863,788191,424328,1089298,378693
2021,4,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",0.09741824134372443,308471,164580,428653,133366
2021,4,발달상권,2120210,선릉역,0.09105676581927011,2700174,1329077,3755850,962128
2021,4,발달상권,2120211,도성초등학교,0.10411077850708926,541656,340529,748329,281255
2021,4,발달상권,2120212,한티역,0.11212467951808666,515447,354314,712279,293627
2021,4,발달상권,2120213,삼성중앙역,0.10197355426004413,850977,442707,1223851,370886
2021,4,발달상권,2120214,영동대교남단교차로,0.0940867683399377,156204,77893,209795,63762
2021,4,발달상권,2120215,포스코사거리,0.08630417144428128,1752747,775362,2410629,572032
2021,4,발달상권,2120216,경기고교사거리(경기고교앞사거리),0.08342639234981737,124104,55586,158239,46828
2021,4,발달상권,2120217,대치사거리,0.10477044619414816,676070,410940,997096,356530
2021,4,발달상권,2120218,코엑스,0.05579788018627389,31317,13052,35673,11784
2021,4,발달상권,2120219,은마아파트,0.11750933207221519,468476,361802,678618,310981
2021,4,발달상권,2120220,대치역,0.10771214062170621,260738,180486,349149,144200
2021,4,발달상권,2120221,봉은사역,0.08219056006374369,230384,101172,301191,80337
2021,4,발달상권,2120222,삼성역,0.06385535233011487,633825,246904,794318,161107
2021,4,발달상권,2120223,휘문고교사거리,0.0684762134318898,146548,57197,183376,40660
2021,4,발달상권,2120224,수서역,0.10360670374434999,117638,61377,166601,48445
2021,4,전통시장,2130303,영동전통시장,0.1239092540906214,186050,132799,289765,95751
2021,4,전통시장,2130310,강남개포시장,0.08872284529188418,117413,64716,148810,56354
2021,4,관광특구,1001496,강남 마이스 관광특구,0.05682640233053747,67617,27987,78495,23800
2022,1,골목상권,2110963,역삼월드메르디앙아파트,0.12392550875435673,180098,106688,289795,101554
2022,1,골목상권,2110983,국립국악고등학교,0.12377482095516502,198839,123384,314451,122731
2022,1,골목상권,2110995,봉은사역 4번,0.12725244343123226,225142,134246,357811,136987
2022,1,발달상권,2120223,휘문고교사거리,0.07194586597463073,132640,52781,167473,38681
2022,1,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",0.1017525255872523,339701,185076,478968,154747
2022,1,발달상권,2120210,선릉역,0.09150081216662338,2636259,1317059,3674530,980302
2022,1,발달상권,2120194,언주역(차병원),0.09515431713406172,932539,458866,1298585,375338
2022,1,발달상권,2120220,대치역,0.10391698557101064,283506,188744,369972,153698
2022,1,발달상권,2120201,도곡1동,0.1029632118190456,517160,271498,732511,237853
2022,1,골목상권,2110958,역삼역 4번,0.08184919155684155,217613,97092,291042,72188
2022,1,골목상권,2110999,윗방죽마을공원,0.13933669060460682,30041,20942,48303,18814
2022,1,골목상권,2110957,언북중학교,0.09415704537335141,522314,242201,744401,198904
2022,1,골목상권,2110961,언주역 3번,0.10350252477134146,442255,225288,646075,193606
2022,1,골목상권,2110985,청담근린공원,0.09862820141398432,110954,56382,146132,50618
2022,1,골목상권,2110971,선정릉역 4번,0.1098633509347795,329327,171767,501482,171191
2022,1,골목상권,2110965,언주역 6번,0.10735546496293664,439482,228020,629191,201144
2022,1,골목상권,2110949,한남IC,0.09456109589987649,181072,99710,257151,90179
2022,1,골목상권,2110980,개포지구대옆,0.13214917110246657,275441,178206,456465,167434
2022,1,발달상권,2120187,신논현역,0.10214439223307847,1449421,867437,2066148,701023
2022,1,발달상권,2120208,청담사거리(청담동명품거리),0.09838316984684027,729880,383931,1001494,347749
2022,1,발달상권,2120216,경기고교사거리(경기고교앞사거리),0.08502399933651943,117057,53018,149124,43799
2022,1,발달상권,2120221,봉은사역,0.08288039989386378,210264,93260,275694,74797
2022,1,발달상권,2120202,압구정로데오역(압구정로데오),0.085944065075622,1125719,633009,1461135,491670
2022,1,발달상권,2120212,한티역,0.10992489311565001,542977,361591,735941,306308
2022,1,발달상권,2120200,학동사거리,0.08086614052196606,693723,360576,889483,281551
2022,1,발달상권,2120199,경복아파트교차로,0.10054856498579802,300433,153782,424778,128666
2022,1,전통시장,2130310,강남개포시장,0.08912756113681428,120247,66607,152811,59010
2022,1,골목상권,2110955,논현초등학교,0.11730337785138738,1416149,804950,2168874,821074
2022,1,골목상권,2110981,국악고교사거리,0.1300100614551793,192321,130007,308090,115307
2022,1,골목상권,2110977,논현로18길,0.12051482311023902,74672,43625,115215,39711
2022,1,발달상권,2120215,포스코사거리,0.08661377662798453,1729289,775225,2377808,580405
2022,1,발달상권,2120219,은마아파트,0.1132581954906375,542346,390514,752928,346031
2022,1,발달상권,2120206,개나리아파트,0.09806500364329858,615208,296875,853562,258071
2022,1,발달상권,2120213,삼성중앙역,0.10376697283201845,880745,466210,1267738,391607
2022,1,발달상권,2120218,코엑스,0.0558161461402475,27977,11615,32129,10299
2022,1,발달상권,2120211,도성초등학교,0.10390952828558796,537321,336142,740280,284215
2022,1,관광특구,1001496,강남 마이스 관광특구,0.056855034207832784,61295,25253,71767,21048
2022,1,골목상권,2110992,도곡초등학교,0.1279326524979299,882267,630693,1408695,620181
2022,1,골목상권,2110960,은광여고,0.10192668875429971,48364,24319,69086,25687
2022,1,골목상권,2110952,논현목련공원,0.12314901501374913,90367,53638,145947,58067
2022,1,발달상권,2120195,성수대교남단,0.08826356685242262,501403,286584,663310,224054
2022,1,발달상권,2120186,가로수길,0.0904905330187367,1068661,634323,1467469,509666
2022,1,발달상권,2120196,서울세관,0.09441738002264084,393759,192227,556870,150703
2022,1,골목상권,2111002,한국교통안전공단 강남자동차검사소,0.051210428305400374,2376,846,2394,828
2022,1,골목상권,2110982,강남구보훈회관,0.11410370771666488,98291,53498,151542,62578
2022,1,발달상권,2120185,논현역,0.10354958659538403,1311142,728223,1903129,578821
2022,1,발달상권,2120197,역삼역,0.08073039924531504,2035921,904656,2786445,583437
2022,1,발달상권,2120191,학동역,0.09679020745966062,953431,469755,1346389,381946
2022,1,골목상권,2110972,강남세브란스병원미래의학연구센터,0.11047676282051282,155139,76943,234589,84898
2022,1,골목상권,2110997,대청초등학교,0.13052949108768563,954327,626057,1536100,598136
2022,1,골목상권,2110975,매봉역 1번,0.10686497095987882,153604,88897,219986,79084
2022,1,골목상권,2110951,신사은행나무공원,0.1174298390619155,228427,138556,358926,119581
2022,1,골목상권,2110989,대치동아우편취급국,0.09711056528154946,325442,174384,479666,152602
2022,1,골목상권,2110994,개포고등학교,0.11347522634655455,206205,111596,312893,120953
