기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,시간대6,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,직장인구비율,area,면적당편의점수(10000제곱미터),상주인구비율,시간대_1_비율,시간대_2_비율,시간대_3_비율,시간대_4_비율,시간대_5_비율,시간대_6_비율,월요일_비율,화요일_비율,수요일_비율,목요일_비율,금요일_비율,토요일_비율,일요일_비율,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수
2020,1,골목상권,2110963,역삼월드메르디앙아파트,3,38957.30037,77684.63736,118235.0696,64641.17582,91409.68132,63732.57875,1724,847,780,43,3,184,115,87,10,30,114,424152,125142,93700,49245,46071,57538,52455,62875,63050,61860,62574,61564,55440,56790,1,0,0,0,1,0.0018389633904826,40391,0.742739719,0.0040645806220411,29.50404571945906,22.09113713951602,11.610224636451084,10.861907995246987,13.565419943793737,12.367028800995868,14.823695279050906,14.864954073068146,14.58439427375092,14.752730153341256,14.514607970727477,13.070785944661347,13.389068069937194,57194,72797,90346,79226,51140,73450,176.0,56.0,774.0,784.0,339.0,191.0,133.0,1148.0
2020,1,골목상권,2110965,언주역 6번,7,117776.2543,98670.78336,101400.9231,90605.49294,194710.6028,134383.8367,2309,1512,1139,64,26,366,202,48,44,7,1,805042,168558,173478,122590,119820,134697,85900,120453,125145,123193,123491,119825,97117,95819,2,0,0,0,2,0.0014148330149234,65107,1.075153209,0.0028681733375401,20.937789581164708,21.548937819393277,15.227776935861732,14.883695509054188,16.731673626966046,10.670250744681644,14.962324947021395,15.545151681527177,15.30267986018121,15.339696562415378,14.884316594662142,12.063594197569817,11.902360373744475,44913,181511,244922,150260,84984,98452,217.0,58.0,1311.0,770.0,228.0,113.0,63.0,398.0
2020,1,골목상권,2110966,논현2동주민센터,6,73069.81868,118041.9158,99532.7674,87333.87912,159770.1026,98849.4652,2887,1539,1637,60,28,154,199,70,147,192,53,2182390,365530,432849,362242,365924,425912,229933,328801,348279,343812,349006,336595,252962,222935,9,0,0,0,2,0.0007500950792479,93544,0.64140939,0.0013228616333469,16.749068681583033,19.833714414013997,16.59840816719285,16.767122283368234,19.515851887151243,10.535834566690646,15.066097260343016,15.958605015602162,15.753921159829362,15.991917118388557,15.423228662154797,11.591053844638218,10.215176939043891,164361,446229,551826,424985,255791,339198,99.0,32.0,241.0,295.0,117.0,171.0,234.0,1417.0
2020,1,골목상권,2110967,역삼역 8번,9,282864.2442,174249.149,195267.4066,176472.1832,363324.2479,301144.2723,1307,877,377,32,7,213,85,43,8,17,6,650443,135009,138267,102569,98334,107469,68795,97661,102253,102148,101803,99151,74394,73031,7,0,0,0,3,0.0005796049769157,68671,1.310596904,0.0020093997475566,20.756469052630283,21.25735844647417,15.769098906437613,15.118004190989836,16.522431635054875,10.57663776841322,15.01453624683485,15.720516632510458,15.704373788325803,15.65133301457622,15.243610892883774,11.437435716888336,11.227886225234188,43418,146306,190012,122609,70868,77227,197.0,56.0,1256.0,699.0,222.0,112.0,54.0,23.0
2020,1,골목상권,2110971,선정릉역 4번,9,380182.884,275537.3004,258445.2918,263212.8706,445172.409,361082.746,3836,2425,1542,130,41,815,550,128,40,27,36,839221,207050,183373,119149,116418,124057,89175,126713,130014,127206,128308,124702,101737,100541,7,1,1,0,4,0.0018374182724216,133221,0.675569167,0.00457090563749,24.671689578787948,21.8503826763153,14.19757131911618,13.872150482411666,14.782399391816936,10.625925709675997,15.098883369219788,15.492224336616934,15.157628324362712,15.288940577035133,14.859256381811228,12.122790063642354,11.980276947311852,41927,184770,251172,153064,92191,116098,332.0,90.0,1823.0,1232.0,398.0,213.0,137.0,559.0
2020,1,골목상권,2110972,강남세브란스병원미래의학연구센터,3,12249.52747,75018.52747,79290.39927,98058.2381,172395.8022,113321.9194,1995,1013,2628,56,2,250,123,180,62,11,2,227419,67624,51264,27582,24528,29314,27106,33203,33584,33299,33485,32407,29940,31502,2,0,0,0,0,0.0115557627111191,46603,0.643735382,0.0087723541128929,29.735422282219165,22.54165219264881,12.1282742426974,10.785378530377848,12.889864083475874,11.918968951582762,14.599923489242322,14.767455665533664,14.642136321063765,14.7239236827178,14.249908758722889,13.165126924311512,13.851964875406187,27755,40990,49508,39784,28785,40596,201.0,43.0,860.0,616.0,432.0,243.0,105.0,1194.0
2020,1,골목상권,2110974,언주중학교,6,123777.8022,146916.4267,130379.5238,114724.5861,207118.8919,150709.1941,1479,770,292,57,6,206,166,43,19,10,85,725628,186263,158102,93003,91766,111694,84800,105929,108449,106274,108662,105254,95930,95130,2,0,0,0,0,0.0004024100503288,35150,1.706970128,0.0020382344672476,25.669213426163267,21.788299238728385,12.816897914633946,12.646424889888484,15.3927356717216,11.68642885886432,14.598251445644324,14.945536831544535,14.645796468713998,14.974890715352773,14.505228574421054,13.220272646590264,13.110023317733052,111229,121557,162034,139288,78861,112659,203.0,32.0,803.0,609.0,178.0,84.0,42.0,1744.0
2020,1,골목상권,2110975,매봉역 1번,6,84833.38828,256958.6227,239445.2674,283060.2692,382445.5073,266180.3333,944,361,10837,25,2,22,46,17,9,24,130,284284,56700,61617,40801,40331,53176,31658,40936,41913,40616,41517,40909,38917,39478,11,0,0,0,0,0.0381203303738515,52363,1.145847259,0.0033206230389328,19.94484388850586,21.674452308255123,14.352197098675973,14.18686946855961,18.70523842354828,11.13604705154001,14.399684822220031,14.743355236312985,14.28712132937485,14.604057913917067,14.39018727751122,13.689479534549957,13.886817407944168,27842,50147,46528,43847,50046,65876,60.0,38.0,56.0,62.0,44.0,36.0,50.0,1721.0
2020,1,골목상권,2110976,언북초등학교,6,45202.32967,80956.92125,79343.14652,80498.19048,175546.4212,114267.2106,2011,1046,578,52,0,99,133,75,92,46,31,763023,166711,156744,113701,109645,129012,87210,107203,114215,112378,114227,114135,105521,95345,2,0,0,0,0,0.0007575132073345,55724,1.076735338,0.0026355693078714,21.84875161037085,20.54250002948797,14.901385672515769,14.369815850898334,16.908009326062253,11.429537510664815,14.04977307368192,14.968749303756242,14.727996403778128,14.970321995536176,14.958264691890022,13.82933410919461,12.495691479811224,72881,146872,174795,144062,97697,126716,123.0,22.0,360.0,242.0,345.0,197.0,124.0,1557.0
2020,1,골목상권,2110977,논현로18길,9,45050.42002,56870.04151,52003.01587,47840.65934,86767.8486,65886.61661,707,335,148,14,3,35,56,14,0,0,0,131234,32101,26947,18165,17659,20905,15455,19571,19707,19529,19583,19236,16945,16662,0,0,0,0,0,0.0011277565265098,17287,5.20622433,0.0053873234070439,24.46088666046909,20.53355075666367,13.841687367602908,13.45611655516101,15.929560936952312,11.776673727844916,14.913056067787313,15.016687748601734,14.881052166359328,14.922200039623878,14.65778685401649,12.912050230885288,12.696404895072924,17063,18046,24876,24599,20577,26075,192.0,63.0,578.0,709.0,455.0,36.0,50.0,20.0
