매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
12249.52747,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,3,1,0,0,0,0,1,0,0,1995,1013,2628,56,2,250,123,180,62,11,2,227419,67624,33203,33584,33299,33485,32407,29940,31502,2,0,0,0,0,46603,27755,40990,49508,39784,28785,40596,201.0,43.0,860.0,616.0,432.0,243.0,105.0,1194.0,0,0,0,0
123777.8022,2020,골목상권,2110974,언주중학교,6,1,0,0,0,0,1,0,0,1479,770,292,57,6,206,166,43,19,10,85,725628,186263,105929,108449,106274,108662,105254,95930,95130,2,0,0,0,0,35150,111229,121557,162034,139288,78861,112659,203.0,32.0,803.0,609.0,178.0,84.0,42.0,1744.0,0,0,0,0
84833.38828,2020,골목상권,2110975,매봉역 1번,6,1,0,0,0,0,1,0,0,944,361,10837,25,2,22,46,17,9,24,130,284284,56700,40936,41913,40616,41517,40909,38917,39478,11,0,0,0,0,52363,27842,50147,46528,43847,50046,65876,60.0,38.0,56.0,62.0,44.0,36.0,50.0,1721.0,9097,10593,3,1
45202.32967,2020,골목상권,2110976,언북초등학교,6,1,0,0,0,0,1,0,0,2011,1046,578,52,0,99,133,75,92,46,31,763023,166711,107203,114215,112378,114227,114135,105521,95345,2,0,0,0,0,55724,72881,146872,174795,144062,97697,126716,123.0,22.0,360.0,242.0,345.0,197.0,124.0,1557.0,0,0,0,0
45050.42002,2020,골목상권,2110977,논현로18길,9,1,0,0,0,0,1,0,0,707,335,148,14,3,35,56,14,0,0,0,131234,32101,19571,19707,19529,19583,19236,16945,16662,0,0,0,0,0,17287,17063,18046,24876,24599,20577,26075,192.0,63.0,578.0,709.0,455.0,36.0,50.0,20.0,0,0,0,0
60238.17216,2020,골목상권,2110980,개포지구대옆,3,1,0,0,0,0,1,0,0,2707,1114,663,75,14,155,238,188,20,49,15,638433,164104,93804,94415,94167,94078,94506,84395,83067,2,0,0,0,0,85827,101175,77272,96799,115561,101746,145882,199.0,53.0,564.0,688.0,394.0,72.0,58.0,445.0,0,0,0,0
111115.7399,2020,골목상권,2110981,국악고교사거리,9,1,0,0,0,0,1,0,0,2105,876,361,52,14,128,232,153,12,4,0,524293,147995,76615,75931,76300,75494,73664,72364,73925,7,0,0,0,0,67409,76468,67685,101126,98072,83479,97465,301.0,87.0,1056.0,1138.0,657.0,93.0,29.0,4.0,495,0,4,0
107218.8132,2020,골목상권,2110983,국립국악고등학교,3,1,0,0,0,0,1,0,0,2836,1257,783,65,10,190,223,121,44,9,5,528604,142178,76035,76014,76993,76626,76814,73242,72878,4,1,0,0,0,56041,105566,60859,69843,91483,88112,112739,232.0,55.0,660.0,823.0,528.0,68.0,48.0,74.0,0,0,0,0
68735.03755,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),12,1,0,0,0,0,1,0,0,4522,1948,1556,107,30,399,353,203,44,16,34,964524,326912,138404,140210,139458,138293,138107,133935,136115,14,0,0,0,1,137097,172015,103226,171060,166655,146894,204674,246.0,56.0,864.0,884.0,564.0,117.0,32.0,198.0,199,0,1,0
198378.8095,2020,골목상권,2110985,청담근린공원,3,1,0,0,0,0,1,0,0,980,472,1338,27,0,21,42,45,27,6,98,318301,69924,46000,47310,46863,47853,47158,42697,40422,1,0,0,0,0,43265,24402,46820,71736,60169,45094,70082,71.0,0.0,34.0,160.0,103.0,60.0,74.0,1718.0,0,0,0,0
